Brand,grade,reviews,fragrance family,fragrance name,fragrance classification,volume,top notes,heart notes,base notes,gender,product form,year of launch,strength,sustainable,country of origin,ingredients
Dolce & Gabbana,4.7,1778,Citrus,Light Blue,Dolce & Gabbana,"Available in 24ml, 50ml, 100ml & 200ml","Sicilian Lemon, Apple, Cedar, Bellflower","Bamboo, Jasmine, White Rose","Cedar, Musk, Amber",Women,Liquid,2001,Strong,Regular,,"Alcohol, Fragrance, Water, Limonene, Ethylhexyl Methoxycinnamate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Citral, Cinnamal, Linalool, Bht."
Versace,4.7,1083,"Floral, Fruity and Musk",Bright Crystal,Versace,"Available in 30ml, 50ml, 90ml and 200ml","Yuzu, Pomegranate, Water Notes","Peony, Lotus, Magnolia","Musk, Mahogany, Amber",Women,Liquid,2006,Medium,,Italy,"Alcohol, Denat. (Sd Alcohol 39-C), Fragrance, Water, Butylphenyl, Methylpropional, Ethylhexyl Methoxycinnamate, Hydroxysohexyl 3-Cyclohexene Carboxaldehyde, Linalool, Citronellol, Ethylhexyl Salicylate, Butyl, Methoxydibenzoylmethane, Limonene, Geraniol, Ci 17200 (Red 33), Ci 15985 (Yellow 6)."
Versace,4.7,891,"Woody, Oriental and Fresh notes",Eros,Versace,"Available in 5ml, 30ml, 50ml, 100ml & 200ml","Mint, Candy Apple, Lemon, Mandarin Orange","Ambroxan, Geranium, Clary sage","Vanilla, Cedar, Sandalwood, Leather, Bitter Orange, Patchouli",Men,Liquid,2020,Medium,Regular,Italy,"Alcohol Denat. (Sd Alcohol 39-C), Parfum (Fragrance), Aqua (Water), Limonene, Linalool, Coumarin, Alpha-Isometyl Ionone, Citral, Citronellol, Geraniol, Cinnamal, Eugenol."
Calvin Klein,4.7,1164,Floral,Eternity,Calvin Klein,"Available in 30ml, 50ml & 100ml","Green Notes, Freesia, Sage, Citruses, Mandarin Orange","Carnation, Lily, Lily of the valley, Narcissus, Marigold, Violet, Rose, Jasmine","Heliotrope, Musk, Sandalwood, Amber, Patchouli",Women,Liquid,1988,Strong,Regular,Spain,
Davidoff,4.6,1519,Aromatic,Cool Water,Davidoff,"Available in 40ml, 75ml, 125ml & 200ml","Sea Water, Lavender, Mint, Green Notes, Rosemary, Calone, Coriander","Sandalwood, Neroli, Geranium, Jasmine","Musk, Tobacco, Oakmoss, Cedar, Amber",Men,Liquid,1988,Medium,Regular,France,"Alcohol Denat., Aqua/Water/Eau, Parfum/Fragrance, Linalool, Citrus Nobilis (Mandarin Orange) Peel Oil, Limonene, Benzyl Salicylate, Coumarin, Ethylhexyl Methoxycinnamate, Geraniol, Citronellol, Benzophenone-3, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Citral, Cinnamal, Eugenol, Bht."
Calvin Klein,4.6,918,Floral,Eternity Cologne,Calvin Klein,"Available in 30ml, 50ml, 100ml & 200ml","Lavender, Lemon, Bergamot, Mandarin Orange","Juniper Berries, Sage, Coriander, Geranium, Basil, Jasmine, Orange Blossom, Lily, lily of the valley","Sandalwood, Vetiver, Musk, Brazilian Rosewood, Amber",Men,Liquid,1990,Strong,,Spain,
Calvin Klein,4.7,890,Citrus,Obsession,Calvin Klein,"Available in 1 ml, 8 ml, 10 ml, 15 ml, 20 ml, 30 ml, 50 ml, 53 ml, 75 ml, 77 ml, 100 ml, 120 ml, 150 ml, 157 ml, 160 ml, 200 ml and 207 ml","Bergamot, Mandarin","Lavender, Clove, Myrrh, Nutmeg, Coriander, Sage","Patchouli, Sandalwood, Vetiver, Amber",Men,,1986,,,,
Calvin Klein,4.7,957,Bergamot,Obsession,Calvin Klein,"Available in 1 ml, 2 ml, 4 ml, 7 ml, 8 ml, 10 ml, 15 ml, 30 ml, 50 ml, 75 ml, 90 ml, 100 ml, 150 ml and 200 ml","Bergamot, Mandarin, Green notes, Vanillin","Jasmine, Orange blossom, Sandalwood, Vetiver, Coriander","Oakmoss, Amber, Musk, Incense",Women,,1985,,,,
Calvin Klein,4.6,642,Citrus,Ck One,Calvin Klein,"Available in 1 ml, 2 ml, 8 ml, 10 ml, 15 ml, 20 ml, 50 ml, 77 ml, 100 ml, 125 ml, 154 ml, 195 ml, 251 ml and 266 ml","Bergamot, Cardamom, Tea (Green), Papaya, Pineapple","Rose, Violet, Nutmeg, Tea (Green), Hedione high cis","Amber, Musks, Tea (Green)",Men,,1994,,,,
Giorgio Armani,4.7,1183,Cedar,Acqua Di Gio,Giorgio Armani,"Available in 1 ml, 3 ml, 5 ml, 8 ml, 30 ml, 50 ml, 75 ml, 77 ml, 100 ml, 104 ml, 125 ml, 150 ml and 200 ml","Bergamot, Mandarin, Calone, Neroli","Jasmine, Nasturtium, Rosemary, Hedione high cis","Cedarwood, Patchouli, Cistus labdanum (Rockrose), Musks (white)",Men,,1995,,,,
Calvin Klein,4.7,1467,fall,Euphoria,Calvin Klein,"Available in 1 ml, 4 ml, 8 ml, 15 ml, 30 ml, 50 ml, 90 ml, 100 ml, 120 ml, 163 ml and 200 ml","Lush green accord, Persimmon, Pomegranate","Champaca, Lotus flower, Orchid (black)","Violet (black), Mahogany, Amber (liquid), Creamy accord",Women,,2005,,,,
Guy Laroche,4.6,802,Citrus,Drakkar Noir,Guy Laroche,"Available in 1 ml, 5 ml, 8 ml, 15 ml, 30 ml, 44 ml, 50 ml, 75 ml, 77 ml, 100 ml, 154 ml, 177 ml and 200 ml","Lemon peel, Verbena","Lavender, Coriander, Fir balsam, Juniperberry","Patchouli, Sandalwood, Balsam",Men,,1982,,,,
Elizabeth Arden,4.7,809,fall,Red Door,Elizabeth Arden,"Available in 1 ml, 5 ml, 7 ml, 8 ml, 10 ml, 15 ml, 25 ml, 30 ml, 44 ml, 50 ml, 77 ml, 100 ml, 150 ml, 157 ml and 200 ml","Rose (JFK), Ylang-ylang, Fruity accord","Carnation, Freesia, Jasmine, Lily, Lily of the Valley (Muguet), Orange blossom, Orchid (Oriental), Violet","Sandalwood, Vetiver, Oakmoss, Musk, Honey",Women,,1989,,,,
Elizabeth Taylor,4.7,990,Floral,White Diamonds,Elizabeth Taylor,"Available in 1 ml, 4 ml, 7 ml, 8 ml, 10 ml, 15 ml, 26 ml, 30 ml, 50 ml, 77 ml, 90 ml, 100 ml, 104 ml, 157 ml, 200 ml and 248 ml","Lily (Amazon), Neroli, Aldehydes","Iris (Orris), Jasmine, Narcissus, Rose, Tuberose","Patchouli, Sandalwood, Oakmoss, Amber",Women,,1991,,,,
Jimmy Choo,4.5,687,Floral and fruity,Jimmy Choo,Jimmy Choo,Available in 60ml and 100ml,"Pear, Mandarin Orange, Green Notes",Orchid,"Toffee, Patchouli",Women,Liquid,2011,Medium,Regular,France,Alcohol Denat. (Sd Alcohol 39-C) · Parfum (Fragrance) · Aqua (Water) · Benzyl Salicylate · Butyl Methoxydibenzoylmethane · Ethylhexyl
Citrus,4.5,975,Citrus,Club De Nuit Intense,Citrus,Available in 200ml,"Lemon, Pineapple, Black Currant, Bergamot, Apple","Birch, Jasmine, Rose","Musk, Ambergris, Patchouli, Vanilla",Men,Liquid,2015,,,France,
Versace,4.6,756,Cedar,Versace Man,Versace,"Available in 1 ml, 2 ml, 5 ml, 8 ml, 9 ml, 30 ml, 50 ml, 75 ml, 100 ml and 200 ml","Bergamot, Neroli, Pepper (black), Angelica flower","Cardamom, Saffron","Kashmir wood note, Tobacco leaves, Amber, Cistus labdanum (Rockrose)",Men,,2003,,,,
Dolce & Gabbana,4.5,907,Oriental,The One Cologne,Dolce & Gabbana,"Available in 30ml, 50ml, 100ml & 151ml","Grapefruit, Coriander and Basil","Ginger, Cardamom, Orange Blossom","Amber, Tobacco, Cedar",Men,Liquid,2015,Medium,Regular,France,"Alcohol Denat., Parfum/Fragrance, Water/Aqua/Eau, Benzyl Benzoate, Benzyl Salicylate, Butylphenyl Methylpropional, Citronellol, Coumarin, Geraniol, Hydroxycitronellal, Limonene, Linalool, Butyl Methoxydibenzoylmethane, Ethylhexyl Methoxycinnamate, and Ethylhexyl Salicylate."
Ariana Grande,4.5,226,Bergamot,Ariana Grande Cloud,Ariana Grande,"Available in 8 ml, 100 ml and 240 ml",,,,Women,,2018,,,,
Joop!,4.6,1048,Citrus,Joop,Joop!,"Available in 1 ml, 5 ml, 8 ml, 30 ml, 50 ml, 75 ml, 100 ml, 120 ml, 125 ml, 157 ml and 200 ml","Bergamot, Jasmine, Orange blossom, Cinnamon","Jasmine, Sandalwood, Vetiver, Tobacco, Honeysuckle, Honey","Patchouli, Sandalwood, Vetiver, Amber, Musk, Tonka bean, Vanilla",Men,,1989,,,,
Juicy Couture,4.6,645,,Viva La Juicy,Juicy Couture,"Available in 1 ml, 5 ml, 8 ml, 10 ml, 15 ml, 30 ml, 50 ml, 75 ml, 100 ml, 125 ml, 200 ml and 254 ml","Mandarin, Peach nectar, Berries (wild)","Gardenia, Jasmine, Orchid (Coconut)","Wood (creamy), Amber, Vanilla, Caramel",Women,,2008,,,,
Dolce & Gabbana,4.6,540,Bergamot,Light Blue,Dolce & Gabbana,"Available in 2 ml, 4 ml, 8 ml, 38 ml, 50 ml, 71 ml, 75 ml, 104 ml, 125 ml, 150 ml and 200 ml","Bergamot, Grapefruit, Mandarin, Juniperberry","Pepper (Sichuan), Rosewood, Rosemary","Muskwood (American), Oakmoss, Incense",Men,,2007,,,,
Davidoff,4.6,895,Citrus,Cool Water,Davidoff,"Available in 1 ml, 5 ml, 8 ml, 15 ml, 30 ml, 50 ml, 75 ml, 100 ml, 150 ml and 200 ml","Citrus accord, Lotus flower, Waterlily, Blackcurrant buds (Cassis), Honeydew melon, Pineapple, Quince","Jasmine, Lily of the Valley (Muguet), Rose (May Rose or Rose de Mai)","Iris (Orris), Mulberry, Orchid, Sandalwood",Women,,1996,,,,
Christian Dior,4.4,450,Bergamot,Sauvage,Christian Dior,"Available in 1 ml, 8 ml, 60 ml, 77 ml, 100 ml, 150 ml and 200 ml",,,,Men,,2015,,,,
Nautica,4.6,572,,Nautica Voyage,Nautica,"Available in 1 ml, 8 ml, 20 ml, 50 ml, 77 ml, 100 ml, 150 ml, 177 ml and 200 ml","Leaves (green), Sailcloth accord, Apple","Lotus (water), Mimosa","Cedarwood, Woody amber accord, Oakmoss, Musk",Men,,2006,,,,
